BP,Lake_Gölhisar ,z_score,,BP,Sofular_cave ,z_score,,BP,Eski_Acıgöl,z_score,,BP,Dim_cave,z_score,,BP,Karaca_cave,z_score,,BP,Lake_Van,z_score,,BP,Jeita_cave,z_score,,BP,Lake_Hula,z_score,,BP,Jerusalem_West_cave,z_score,,BP,Soreq_cave,z_score,,BP,KunaBa_cave,z_score,,BP,Lake_Zeribar,z_score,,BP,Lake_Mirabad,z_score,,BP,Gol_e_Zard_cave,z_score,,BP,Hoti_cave,z_score,,BP,Qunf_cave,z_score
2849,-3.5,0.9747547077,,2211,-8.22,0.7738545831,,2584,1.1,0.8165768482,,10011,-6.58,-1.5341030248,,6617,-10.8383,1.1209866427,,3584,1.47,0.6404905097,,2467,-4.88,1.2008040037,,5320,-8.54,-0.5824603654,,7833,-5.63,-0.5012439304,,3540,-5.49,0.4041638758,,2140,-6.35,1.1019495495,,4083,-4.41,0.3681243705,,5688,-3.1,1.4704486512,,3880,-8.37,-1.1457476339,,6077,-3.95,1.8084260785,,2759,-1,1.076817557
2862,-3.57,0.9326933745,,2222,-8.22,0.7738545831,,2629,0.32,0.4032863917,,10036,-6.536,-1.4303811699,,6678,-10.7401,1.2551979021,,3696,1.03,0.1966458915,,2491,-4.93,1.1022199551,,5643,-8.57,-0.6507174395,,8473,-6.26,-1.3194933793,,3580,-5.39,0.6284224998,,2143,-6.34,1.1312977212,,4680,-4.43,0.3524310867,,5757,-4.14,0.2345851934,,3890,-8.09,-0.4050254375,,6083,-4.07,1.5732755749,,2765,-1.21,0.614705331
2875,-3.5,0.9747547077,,2232,-8.16,0.8197611481,,2675,0.36,0.4244807741,,10061,-6.216,-0.6760404065,,6738,-10.6846,1.3310504977,,3808,0.57,-0.2673734821,,2516,-5.17,0.6290165217,,5947,-8.52,-0.5369556494,,9056,-5.69,-0.5791724494,,3620,-5.28,0.8751069862,,2146,-6.29,1.2780385799,,4978,-4.32,0.4387441477,,5922,-4.77,-0.5140628628,,3900,-8.05,-0.2992079808,,6089,-3.93,1.8476178291,,2770,-1.35,0.3066305137
2902,-3.67,0.8726057555,,2242,-8.24,0.7585523948,,2704,0.51,0.503959708,,10085,-6.665,-1.7344747901,,6799,-11.2552,0.5512038116,,3920,0.4,-0.4388589028,,2541,-5.13,0.7078837606,,6270,-8.29,-0.0136514148,,9428,-5.84,-0.7739937467,,3660,-5.26,0.919958711,,2149,-6.25,1.3954312668,,5127,-4.39,0.3838176543,,6032,-4.81,-0.5615960727,,3910,-8.12,-0.4843885299,,6095,-3.79,2.1219600833,,2776,-1.39,0.2186091374
2978,-3.9,0.7344042319,,2253,-8.31,0.7049947357,,2738,1.52,1.0391178632,,10110,-6.454,-1.2370813492,,6860,-10.6111,1.4315039352,,4032,0.63,-0.206849216,,2565,-5.18,0.6092997119,,6574,-8.15,0.3048815975,,9905,-5.68,-0.5661843629,,3720,-5.51,0.3593121509,,2152,-6.29,1.2780385799,,5157,-4.01,0.6819900469,,6652,-4.04,0.3534182182,,3920,-7.89,0.1240618457,,6101,-4.28,1.1617621936,,2781,-1.2,0.6367106751
3075,-4.17,0.5721676606,,2263,-8.21,0.7815056773,,2806,2.61,1.6166647832,,10135,-5.96,-0.0725677957,,6920,-11.2562,0.5498370981,,4144,0.83,-0.0051016623,,2590,-5.06,0.8459014286,,6859,-8.13,0.3503863136,,10758,-5.51,-0.3453868926,,3780,-5.55,0.2696087013,,2155,-6.23,1.4541276103,,5277,-3.61,0.9958557233,,6859,-5.26,-1.0963446843,,3930,-7.89,0.1240618457,,6107,-4.26,1.2009539442,,2786,-1.36,0.2846251696
3173,-3.7,0.8545794698,,2274,-8.27,0.7355991123,,2829,3.71,2.1995102987,,10160,-6.546,-1.4539543187,,7041,-11.3009,0.4887450076,,4256,1,0.1663837584,,2614,-5.12,0.7276005703,,7167,-8.18,0.2366245235,,10941,-5.68,-0.5661843629,,3800,-5.52,0.3368862885,,2158,-6.17,1.6302166407,,5426,-3.74,0.8938493785,,7134,-5.31,-1.1557611967,,3940,-7.9,0.0976074815,,6113,-5.3,-0.8370170871,,2792,-1.3,0.4166572342
3270,-3.9,0.7344042319,,2284,-8.33,0.6896925474,,2898,4.19,2.4538428874,,10185,-6.077,-0.3483736374,,7101,-11.7437,-0.1164357016,,4368,0.27,-0.5699948128,,2639,-5.05,0.8656182384,,7448,-8.43,-0.3321844272,,11064,-4.77,0.6157315076,,3820,-5.37,0.6732742246,,2161,-6.18,1.600868469,,5575,-3.92,0.7526098241,,7355,-4.07,0.3177683107,,3950,-7.9,0.0976074815,,6118,-4.29,1.1421663183,,2797,-1.08,0.9007748042
3367,-4.37,0.4519924227,,2294,-8.38,0.6514370766,,2921,3.66,2.1730173208,,10209,-6.175,-0.5793904962,,7272,-12.0075,-0.4769747058,,4480,0.33,-0.5094705466,,2663,-4.91,1.1416535745,,7752,-8.61,-0.7417268716,,11361,-4.32,1.2001953997,,3860,-5.4,0.6059966374,,2164,-6.23,1.4541276103,,5724,-3.84,0.8153829594,,7547,-4.67,-0.395229838,,3960,-7.84,0.2563336665,,6124,-4.52,0.6914611864,,2803,-1.05,0.9667908365
3416,-6.53,-0.8459001471,,2305,-8.28,0.7279480182,,3155,3.46,2.0670454088,,10234,-6.531,-1.4185945954,,7430,-11.0329,0.8550242082,,4592,0.07,-0.7717423665,,2688,-4.93,1.1022199551,,8056,-8.59,-0.6962221556,,11447,-4.59,0.8495170645,,3880,-5.24,0.9648104358,,2167,-6.29,1.2780385799,,5933,-3.49,1.0900154262,,7713,-6.21,-2.2252584198,,3970,-7.73,0.5473316722,,6130,-4.53,0.6718653111,,2808,-1.04,0.9887961806
